"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 10 15:30:42 GMT+04:00 2026","Sat Jan 10 15:30:47 GMT+04:00 2026","5010","Surefire suite","Surefire test","org.example.FormTests","org.example.FormTests","fillFormAndVerifyPopup","Fill practice form and verify submission modal contains entered values","Fills out the DemoQA practice form, submits it, and asserts that the result modal contains expected values."
"passed","Sat Jan 10 15:30:35 GMT+04:00 2026","Sat Jan 10 15:30:41 GMT+04:00 2026","5878","Surefire suite","Surefire test","org.example.AlertTests","org.example.AlertTests","alertWithTextboxTest","Verify prompt alert accepts text input and displays it on the page","Opens the alerts demo, triggers the prompt alert, inputs a full name, accepts, and verifies the result text."
